experiment_id,method_id,method_label,dataset,particle,modalities,role,stage_type,paper_section,selection_metric,selection_basis,include_level,n_runs,seeds,model,fusion_mode,loss,label_encoding,handcrafted_features,source_file,val_accuracy_mean,val_accuracy_std,val_mae_argmax_mean,val_mae_argmax_std,val_p90_error_mean,val_p90_error_std,val_macro_f1_mean,val_macro_f1_std,val_high_angle_macro_f1_mean,val_high_angle_macro_f1_std,val_far_error_rate_abs_ge_20_mean,val_far_error_rate_abs_ge_20_std,test_accuracy_mean,test_accuracy_std,test_mae_argmax_mean,test_mae_argmax_std,test_p90_error_mean,test_p90_error_std,test_macro_f1_mean,test_macro_f1_std,test_high_angle_macro_f1_mean,test_high_angle_macro_f1_std,test_far_error_rate_abs_ge_20_mean,test_far_error_rate_abs_ge_20_std,validation_note,test_note,notes
A2-best,alpha_tot_resnet18_no_maxpool_baseline,Alpha ToT baseline: ResNet18 no maxpool,Alpha_100,alpha,ToT,baseline,three_seed_verification,Baseline construction,validation_accuracy,formal three-seed baseline,main_table,3,42;43;44,resnet18_no_maxpool,none,cross_entropy,onehot,,outputs/experiments/a2_best_3seed/*/metrics.json,0.6903096903,0.004577997697,6.423576424,0.1274460622,25,8.660254038,0.6218109814,0.006996255505,0.7184152741,0.008053869367,0.1048951049,0.004354544399,0.7044400265,0.001518414743,5.949304175,0.06832866344,15,0,0.6363391847,0.00902695579,0.7130526697,0.003839576654,0.08946322068,0.002629971482,baseline reference for Alpha experiments,test is report-only,Alpha ToT-only正式baseline;后续Alpha实验对照对象
A4b-5,validation_selected_selector,A4b-5 validation-selected late fusion selector,Alpha_100,alpha,ToT;ToT+ToA,main_result,three_seed_posthoc_fusion,Alpha multimodal fusion,validation_selected_selector,validation-selected selector within A4b-5,main_table,3,42;43;44,late_prediction_fusion,selector,cross_entropy,onehot,,outputs/a4b_5_gated_late_fusion_mean_std.csv,0.713952714,0.005853611665,6.053946054,0.1766707211,20,8.660254038,0.6561137967,0.01946214541,0.7272936395,0.004825065936,,,0.7216699801,0.01724587632,5.661033797,0.3199112334,15,0,0.6619633929,0.02685252861,0.7470134734,0.009289209185,,,"best selector chosen by validation, not by test",test is report-only,Alpha多模态expert-level主结果之一;validation-selected gated late fusion
A4b-6,validation_selected_residual_validation_grid,A4b-6 validation-selected residual fusion,Alpha_100,alpha,ToT;ToT+ToA,main_result,three_seed_posthoc_fusion,Alpha multimodal fusion,validation_selected_residual,validation-selected residual rule within A4b-6,main_table,3,42;43;44,late_prediction_fusion,residual_selector,cross_entropy,onehot,,outputs/a4b_6_residual_gated_fusion_mean_std.csv,0.7176157176,0.007226951187,6.008991009,0.2262687643,25,8.660254038,0.6623860004,0.02459482923,0.7284732828,0.00791450348,,,0.7143803844,0.01005565998,5.800198807,0.07747742181,15,0,0.6563598673,0.00962725998,0.7322993306,0.003714472761,,,"best residual selector chosen by validation, not by test",test is report-only,Alpha多模态residual gated对照;validation表现强但test不一定最高
A4c-1-3,dual_stream_concat_aux,A4c dual_stream_concat_aux,Alpha_100,alpha,ToT+ToA,main_result,three_seed_end_to_end_fusion,Alpha multimodal fusion,validation_accuracy,three-seed end-to-end bimodal comparison; selection by validation,main_table,3,42;43;44,dual_stream_concat_aux,none,cross_entropy,onehot,,outputs/a4c_end_to_end_bimodal_fusion_mean_std.csv,0.698967699,0.01341540931,6.493506494,0.2812768876,30,0,0.6661123818,0.01451799944,0.7070502787,0.01083278279,0.1068931069,0.006238759239,0.7210072896,0.01349596544,5.631212724,0.3325194569,15,0,0.6858273478,0.01685727418,0.7494376188,0.01113824166,0.08217362492,0.008277001986,A4c formal end-to-end bimodal comparison; do not choose by test,test is report-only,端到端双模态concat/GMU/FiLM;重点是Macro-F1和30度困难类别改善
A4c-1-3,dual_stream_gmu_aux,A4c dual_stream_gmu_aux,Alpha_100,alpha,ToT+ToA,main_result,three_seed_end_to_end_fusion,Alpha multimodal fusion,validation_accuracy,three-seed end-to-end bimodal comparison; selection by validation,main_table,3,42;43;44,dual_stream_gmu_aux,none,cross_entropy,onehot,,outputs/a4c_end_to_end_bimodal_fusion_mean_std.csv,0.701964702,0.006651676442,6.273726274,0.1291959756,20,8.660254038,0.6676507819,0.007418892923,0.7012315546,0.01221282842,0.0969030969,0.006993006993,0.7193505633,0.005100995467,5.720675944,0.008608602423,15,0,0.6909454793,0.009485069604,0.7403053461,0.00660475241,0.08681245858,0.003763358745,A4c formal end-to-end bimodal comparison; do not choose by test,test is report-only,端到端双模态concat/GMU/FiLM;重点是Macro-F1和30度困难类别改善
A4c-1-3,toa_conditioned_film,A4c toa_conditioned_film,Alpha_100,alpha,ToT+ToA,main_result,three_seed_end_to_end_fusion,Alpha multimodal fusion,validation_accuracy,three-seed end-to-end bimodal comparison; selection by validation,main_table,3,42;43;44,toa_conditioned_film,none,cross_entropy,onehot,,outputs/a4c_end_to_end_bimodal_fusion_mean_std.csv,0.7042957043,0.009529862152,6.328671329,0.1309225017,25,8.660254038,0.6691859854,0.01112615661,0.7090519367,0.006245185169,0.1025641026,0.003211338915,0.7160371107,0.01214731795,5.775347913,0.2359134053,15,0,0.678496696,0.02118847353,0.7432719746,0.01197911134,0.08648111332,0.006207751489,A4c formal end-to-end bimodal comparison; do not choose by test,test is report-only,端到端双模态concat/GMU/FiLM;重点是Macro-F1和30度困难类别改善
A7,gmu_aux_main_5feat_gated,GMU_aux + main_5feat gated,Alpha_100,alpha,ToT+ToA,ablation,final_component_check,Final model confirmation,validation_accuracy,final GMU component check; selection by validation against A4c GMU,main_ablation_table,3,42;43;44,dual_stream_gmu_aux,gated,cross_entropy,onehot,active_pixel_count;bbox_fill_ratio;ToT_density;ToA_span;ToA_major_axis_corr_abs,outputs/a7_final_gmu_main5feat_gated_3seed_mean_std.csv,0.701964702,0.00610399693,6.358641359,0.2772565252,20,8.660254038,0.6687598244,0.01862913553,0.7125380877,0.01178997492,0.1008991009,0.01251744664,0.7180251822,0.01090422974,5.705765408,0.1448191082,15,0,0.6867317912,0.008406317124,0.7429121934,0.00356150143,0.0831676607,0.005003203734,A7 ties A4c GMU on Val Acc but worsens Val MAE; not selected for final Alpha model,test is report-only,Final Alpha GMU component check; main_5feat gated handcrafted scalars are not selected for final model
A5d,toa_only_diag,ToA-only diagnostic handcrafted features,Alpha_100,alpha,ToT image plus ToT/ToA scalars,ablation,three_seed_feature_fusion,Handcrafted physical features,validation_accuracy,A5d internal comparison selected by validation only,main_ablation_table,3,42;43;44,resnet18_no_maxpool,gated,cross_entropy,onehot,ToA_span;ToA_major_axis_corr_abs,outputs/a5d_alpha_handcrafted_gated_3seed_mean_std.csv,0.706959707,0.003051998465,6.128871129,0.03964662304,15,0,0.6504976892,0.005483764061,0.7229175575,0.005674888201,0.0969030969,0.000999000999,0.7004638834,0.002069250496,5.959244533,0.008608602423,15,0,0.6409671925,0.002565165866,0.7174333292,0.007930592877,0.0858184228,0.0005739068282,handcrafted feature ablation; test differences are report-only,test is report-only,手工物理特征gated三seed验证;validation正向但test accuracy不稳定
A5d,main_5feat,5 handcrafted physical features,Alpha_100,alpha,ToT image plus ToT/ToA scalars,ablation,three_seed_feature_fusion,Handcrafted physical features,validation_accuracy,A5d internal comparison selected by validation only,main_ablation_table,3,42;43;44,resnet18_no_maxpool,gated,cross_entropy,onehot,active_pixel_count;bbox_fill_ratio;ToT_density;ToA_span;ToA_major_axis_corr_abs,outputs/a5d_alpha_handcrafted_gated_3seed_mean_std.csv,0.7022977023,0.002997002997,6.208791209,0.08253102718,15,0,0.650556655,0.008129764969,0.7185156445,0.0004284305405,0.0979020979,0.001730320487,0.7017892644,0.009482497032,5.874751491,0.2314737778,15,0,0.6460830777,0.005197535356,0.727734136,0.005123166545,0.08283631544,0.005474722214,handcrafted feature ablation; test differences are report-only,test is report-only,手工物理特征gated三seed验证;validation正向但test accuracy不稳定
A6b,ce_emd_lambda_0.02,"CE + EMD, lambda=0.02",Alpha_100,alpha,ToT,ablation,three_seed_loss_verification,Ordinal angle-aware loss,validation_accuracy,A6a validation-selected tie-break candidate; A6b three-seed verification,main_ablation_table,3,42;43;44,resnet18_no_maxpool,none,ce_emd,onehot,,outputs/a6b_alpha_tot_ce_emd_0p02_3seed_mean_std.csv,0.6833166833,0.01152104155,6.618381618,0.4239285193,25,8.660254038,0.6088746594,0.03438824195,0.6968630152,0.02385704564,0.1068931069,0.0122759298,0.696156395,0.007972968466,6.143141153,0.3360664315,20,8.660254038,0.6230442632,0.03370753397,0.7023637665,0.007164297371,0.09310801856,0.01164903634,A6b is weaker than A2 CE baseline on validation; Alpha loss remains CE one-hot,test is report-only,Alpha CE+EMD lambda=0.02 three-seed verification; rejected because validation metrics are weaker than A2 CE baseline
B1-best,proton_tot_resnet18_no_maxpool_baseline,Proton_C_7 ToT baseline: ResNet18 no maxpool,Proton_C_7,proton,ToT,baseline,three_seed_verification,Proton baseline construction,validation_accuracy,formal three-seed baseline,main_table,3,42;43;44,resnet18_no_maxpool,none,cross_entropy,onehot,,outputs/b1_proton_c7_resnet18_tot_best_patience8_3seed_mean_std.csv,0.9294136702,0.01809834152,0.675898931,0.1841632242,0,0,0.9488842488,0.01194112377,0.902664626,0.02598829262,0.0007126660188,0.0004986979047,0.932614817,0.01644207615,0.6403534324,0.1607846581,0,0,0.9516823294,0.01114948144,0.9067265573,0.02360725466,0.0007120432404,0.0002242354672,baseline reference for Proton_C_7 experiments,test is report-only,Proton_C_7正式baseline;patience=8版本
B3b-main,ce_expected_mae_lambda_0.05,"CE + ExpectedMAE, lambda=0.05",Proton_C_7,proton,ToT,main_result,three_seed_loss_verification,Ordinal angle-aware loss,validation_accuracy,selected from B3a by validation accuracy,main_table,3,42;43;44,resnet18_no_maxpool,none,ce_expected_mae,onehot,,outputs/b3b_proton_c7_expected_mae_3seed_mean_std.csv,0.9420472951,0.000535235233,0.5495626822,0.001943634597,0,0,0.9578674414,0.0002930506388,0.927615715,0.0007877662841,0.001976028507,0.0001484475444,0.9437809496,0.000846470326,0.5316050102,0.01037846312,0,0,0.959520106,0.00056042763,0.9302343889,0.0006321288243,0.001424086481,0.0001483178203,current recommended Proton ordered-loss result by validation,test is report-only,Proton当前推荐损失;ExpectedMAE显著提升且稳定
B3b-optional,ce_emd_lambda_0.05,"CE + EMD, lambda=0.05",Proton_C_7,proton,ToT,ablation,three_seed_loss_verification,Ordinal angle-aware loss,validation_accuracy,optional control; close validation result,main_ablation_table,3,42;43;44,resnet18_no_maxpool,none,ce_emd,onehot,,outputs/b3b_proton_c7_ce_emd_optional_3seed_mean_std.csv,0.9420149012,0.001582998604,0.5448655653,0.01544496649,0,0,0.9572825589,0.0009942831664,0.9271672393,0.001778973757,0.001684483317,0.0003927552852,0.9434896592,0.0009363676824,0.5319286662,0.01125373897,0,0,0.9592025732,0.0006350158621,0.9296751058,0.0008665833797,0.001391720879,0.0003676025728,strong optional ordered-loss control; not primary unless thesis chooses MAE emphasis,test is report-only,CE+EMD有序损失对照;Val MAE略优但不是primary metric最优
